Carrier,State,Name
1010200,AL,ALABAMA
1020201,GA,ATLANTA
1020299,GA,REST OF GEORGIA
0710213,AR,ARKANSAS
0421205,NM,NEW MEXICO
0431200,OK,OKLAHOMA
0530201,MO,METROPOLITAN ST. LOUIS
0720201,LA,NEW ORLEANS
0720299,LA,REST OF LOUISIANA
1210201,DE,DELAWARE
1220201,DC,DC + MD
0910203,FL,FORT LAUDERDALE
0910204,FL,MIAMI
0910299,FL,REST OF FLORIDA
0810200,IN,INDIANA
0510200,IA,IOWA
0520200,KS,KANSAS
0540200,NE,NEBRASKA
1510200,KY,KENTUCKY
0530202,MO,METROPOLITAN KANSAS CITY
0530299,MO,REST OF MISSOURI
0320201,MT,MONTANA
1328299,NY,REST OF NEW YORK
1320201,NY,MANHATTAN
1320202,NY,NYC SUBURBS
1320203,NY,POUGHKPSIE
1240201,NJ,NORTHERN NJ
1240299,NJ,REST OF NEW JERSEY
0330201,ND,NORTH DAKOTA
0340202,SD,SOUTH DAKOTA
0360221,WY,WYOMING
0240202,WA,SEATTLE (KING CNTY)
0240299,WA,REST OF WASHINGTON
0210201,AK,ALASKA
0310200,AZ,ARIZONA
0131200,NV,NEVADA
0411201,CO,COLORADO
0121201,HI,HAWAII
0230201,OR,PORTLAND
0230299,OR,REST OF OREGON
1250201,PA,METROPOLITAN PHILADELPHIA
1250299,PA,REST OF PENNSYLVANIA
1441201,RI,RHODE ISLAND
1120201,SC,SOUTH CAROLINA
0441209,TX,BRAZORIA
0441211,TX,DALLAS
0441215,TX,GALVESTON
0441218,TX,HOUSTON
0441220,TX,BEAUMONT
0441228,TX,FORT WORTH
0441231,TX,AUSTIN
0441299,TX,REST OF TEXAS
1230201,MD,BALTIMORE
1230299,MD,REST OF MARYLAND
0350209,UT,UTAH
0630200,WI,WISCONSIN
0610212,IL,EAST ST. LOUIS
0610215,IL,SUBURBAN CHICAGO
0610216,IL,CHICAGO
0610299,IL,REST OF ILLINOIS
0820201,MI,DETROIT
0820299,MI,REST OF MICHIGAN
0920220,PRV,PUERTO RICO
0920250,PRV,VIRGIN ISLANDS
0118217,CA,VENTURA
0118218,CA,LOS ANGELES
0118226,CA,ANAHEIM
0118299,CA,REST OF CALIFORNIA
0220200,ID,IDAHO
1030235,TN,TENNESSEE
1150200,NC,NORTH CAROLINA
1310200,CT,CONNECTICUT
0620200,MN,MINNESOTA
0730200,MS,MISSISSIPPI
1130200,VA,VIRGINIA
1329204,NY,QUEENS
1520200,OH,OHIO
1140216,WV,WEST VIRGINIA
0111203,CA,MARIN
0111205,CA,SAN FRANCISCO
0111206,CA,SAN MATEO
0111207,CA,OAKLAND
0111209,CA,SANTA CLARA
0111299,CA,REST OF CALIFORNIA
1411203,ME,SOUTHERN MAINE
1411299,ME,REST OF MAINE
1421201,MA,METROPOLITAN BOSTON 
1421299,MA,REST OF MASSACHUSETTS
1431240,NH,NEW HAMPSHIRE
1451250,VT,VERMONT